State,Year,ClassNumber,Number of oil wells,Oil wells: oil rate per Well (barrels per day),Number of natural gas wells,Natural gas wells: natural gas rate per well
AK,2023,1,29,0.341,36,0.646
AK,2023,2,12,1.166,7,7.785
AK,2023,3,14,2.431,15,12.308
AK,2023,4,20,3.935,9,25.519
AK,2023,5,8,5.685,5,32.614
AK,2023,6,18,7.426,6,40.223
AK,2023,6.5,101,3.304,78,12.478
AK,2023,7,12,9.422,2,52.504
AK,2023,8,13,11.633,6,73.55
AK,2023,8.5,126,4.963,86,18.824
AK,2023,9,28,15.225,12,78.873
AK,2023,10,18,20.158,11,115.097
AK,2023,11,26,24.445,5,153.879
AK,2023,12,46,31.872,14,188.97
AK,2023,13,65,40.29,17,236.426
AK,2023,14,307,69.348,55,389.271
AK,2023,14.5,616,46.68,200,175.534
AK,2023,15,452,128.591,71,736.473
AK,2023,16,386,234.271,106,1287.187
AK,2023,17,284,433.729,77,2343.736
AK,2023,18,93,882.474,26,4297.921
AK,2023,19,18,1695.192,7,9727.05
AK,2023,20,3,3416.87,0,0
AK,2023,21,1,5597.307,0,0
AK,2023,22,0,0,0,0
AK,2023,23,1853,229.272,487,1267.461
AK,2022,1,24,0.392,31,1.536
AK,2022,2,7,1.107,15,8.074
AK,2022,3,18,2.385,17,12.786
AK,2022,4,12,4.038,6,27.018
AK,2022,5,21,5.288,7,32.606
AK,2022,6,13,7.924,5,40.371
AK,2022,6.5,95,3.526,81,11.884
AK,2022,7,16,9.526,4,59.916
AK,2022,8,20,11.354,7,68.536
AK,2022,8.5,131,5.612,92,18.227
AK,2022,9,26,14.758,9,93.812
AK,2022,10,15,19.7,13,123.11
AK,2022,11,31,23.337,5,140.572
AK,2022,12,58,31.236,7,137.634
AK,2022,13,50,39.759,14,235.2
AK,2022,14,304,69.653,57,354.444
AK,2022,14.5,615,45.214,197,165.928
AK,2022,15,453,132.179,99,685.167
AK,2022,16,358,239.182,127,1210.026
AK,2022,17,245,446.521,85,2161.4
AK,2022,18,87,806.625,47,4021.507
AK,2022,19,16,1735.552,2,10043.727
